ISIN,SYMBOL,SERIES,TYPE,HAIRCUT
INF209K01769,BSL313MD,DP,OMF,7.5
INF209K01DF0,BSL313MD,DR,OMF,7.5
INF209K01777,BSL313MP,GR,OMF,7.5
INF209K01785,BSL32,GR,OMF,7.5
INF209K01793,BSL321G,GR,OMF,8
INF209K01801,BSL321MD,DP,OMF,7.5
INF209K01DG8,BSL321MD,DR,OMF,7.5
INF209K01819,BSL321QD,DP,OMF,7.5
INF209K01DH6,BSL321QD,DR,OMF,7.5
INF209K01MC8,BSL331G,GR,OMF,7.5
INF209K01942,BSL341G,GR,OMF,7.5
INF209K01975,BSL341QD,DP,OMF,7.5
INF209K01DK0,BSL341QD,DR,OMF,7.5
INF209K01983,BSL37,DP,OMF,7.5
INF209K01DL8,BSL37,DR,OMF,7.5
INF209K01AJ8,BSL51,GR,OMF,7.5
INF209K01MF1,BSL512G,GR,OMF,7.5
INF209K01AQ3,BSL52,DP,OMF,7.5
INF209K01DT1,BSL52,DR,OMF,7.5
INF209K01BO6,BSL91,DP,OMF,8.5
INF209K01EC5,BSL91,DR,OMF,8.5
INF209K01BR9,BSL92,GR,OMF,8.5
INF209K01BS7,BSLA,DP,OMF,7.5
INF209K01EE1,BSLA,DR,OMF,7.5
INF209K01BT5,BSLAG,GR,OMF,7.5
INF789F1A538,CBFDPGRO,GR,OMF,7.5
INF789F1A546,CBFDPQDP,DP,OMF,7.5
INF789F1A553,CBFDPQDR,DR,OMF,7.5
INF789F1A447,CBFRPGRO,GR,OMF,7.5
INF789F1A454,CBFRPQDP,DP,OMF,7.5
INF789F1A462,CBFRPQDR,DR,OMF,7.5
INF179KA1I87,CDNDR,DP,OMF,7.5
INF179KA1I79,CDNRR,DR,OMF,7.5
INF179KA1GD8,CDODR,DP,OMF,7.5
INF179KA1GA4,CDODT,DP,OMF,7.5
INF179KA1GC0,CDOGR,GR,OMF,7.5
INF179KA1FZ3,CDOGT,GR,OMF,7.5
INF179KA1GE6,CDORR,DP,OMF,7.5
INF179KA1GB2,CDORT,DR,OMF,7.5
INF789F01XP8,CPD1R,DR,GMF,10
INF789F01XQ6,CPD2G,GR,GMF,10
INF789F01XT0,CPD4R,DR,GMF,10
INF789FA1K22,CPD6D,DP,GMF,10
INF789FA1K30,CPD6R,DR,GMF,10
INF247L01494,CPDPD,DP,OMF,7.5
INF247L01486,CPDPR,DR,OMF,7.5
INF247L01502,CPGDG,GR,OMF,7.5
INF247L01478,CPGPG,GR,OMF,7.5
INF789F01PG3,CPIDR,DR,GMF,10
INF789F01PH1,CPIGG,GR,GMF,10
INF789F01PI9,CPIMD,DP,GMF,10
INF789F01PJ7,CPIMR,DR,GMF,10
INF789F01PK5,CPIWR,DR,GMF,10
INF247L01528,CPPDD,DP,OMF,7.5
INF247L01510,CPPDR,DR,OMF,7.5
INF760K01DX5,CRCYDG,GR,OMF,7.5
INF760K01DV9,CRCYDM,DP,OMF,7.5
INF760K01DW7,CRCYDM,DR,OMF,7.5
INF760K01BO8,CRCYDP,DP,OMF,7.5
INF760K01BN0,CRCYDP,DR,OMF,7.5
INF760K01BM2,CRCYGP,GR,OMF,7.5
INF760K01BQ3,CRCYQP,DP,OMF,7.5
INF760K01BP5,CRCYQP,DR,OMF,7.5
INF760K01ED5,CRDVDD,DP,OMF,7.5
INF760K01EE3,CRDVDD,DR,OMF,7.5
INF760K01EF0,CRDVDG,GR,OMF,7.5
INF760K01035,CRDVDPR,DR,OMF,7.5
INF760K01EG8,CREQDD,DP,OMF,7.5
INF760K01EH6,CREQDD,DR,OMF,7.5
INF760K01175,CREQDP,DP,OMF,7.5
INF760K01EI4,CREQDP,GR,OMF,7.5
INF760K01183,CREQDPR,DR,OMF,7.5
INF760K01167,CREQGP,GR,OMF,7.5
INF760K01EJ2,CRETDD,DP,OMF,7.5
INF760K01EL8,CRETDG,GR,OMF,7.5
INF760K01084,CRETDP,DP,OMF,7.5
INF760K01100,CRETGP,GR,OMF,7.5
INF760K01027,CRFDVD,DP,OMF,7.5
INF760K01019,CRFDVG,GR,OMF,7.5
INF760K01803,CRFRDDR,DR,OMF,7.5
INF760K01ET1,CRFRDG,GR,OMF,7.5
INF760K01AM4,CRFRDMD,DP,OMF,7.5
INF760K01AN2,CRFRDMR,DR,OMF,7.5
INF760K01779,CRFRDPD,DP,OMF,7.5
INF760K01787,CRFRDPR,DR,OMF,7.5
INF760K01EM6,CRFRDR,DR,OMF,7.5
INF760K01795,CRFRGPG,GR,OMF,7.5
INF760K01EN4,CRFRMD,DP,OMF,7.5
INF760K01EO2,CRFRMD,DR,OMF,7.5
INF760K01EX3,CRGBDD,DP,OMF,7.5
INF760K01EY1,CRGBDD,DR,OMF,7.5
INF760K01EZ8,CRGBDG,GR,OMF,7.5
INF760K01068,CRGBDP,DP,OMF,7.5
INF760K01076,CRGBDPR,DR,OMF,7.5
INF760K01050,CRGBOE,GR,OMF,7.5
INF760K01FP6,CRLCDD,DP,OMF,7.5
INF760K01FQ4,CRLCDD,DR,OMF,7.5
INF760K01FR2,CRLCDG,GR,OMF,7.5
INF760K01AS1,CRLCDP,DP,OMF,7.5
INF760K01AT9,CRLCDPR,DR,OMF,7.5
INF760K01AR3,CRLCGP,GR,OMF,7.5
INF760K01FS0,CRLIDD,DR,GMF,10
INF760K01FU6,CRLIDG,GR,GMF,10
INF760K01CU3,CRLISDR,DR,GMF,10
INF760K01CW9,CRLISGG,GR,GMF,10
INF760K01BZ4,CRLISWD,DP,GMF,10
INF760K01CZ2,CRLISWR,DR,GMF,10
INF760K01JD4,CRSCDD,DP,OMF,7.5
INF760K01JE2,CRSCDD,DR,OMF,7.5
INF760K01JC6,CRSCDG,GR,OMF,7.5
INF760K01JG7,CRSCDP,DP,OMF,7.5
INF760K01JH5,CRSCDP,DR,OMF,7.5
INF760K01JF9,CRSCGP,GR,OMF,7.5
INF247L01601,DEADD,DP,OMF,7.5
INF247L01627,DEADR,DR,OMF,7.5
INF247L01650,DEDAD,DP,OMF,7.5
INF247L01676,DEDAR,DP,OMF,7.5
INF247L01643,DEDQD,DP,OMF,7.5
INF247L01668,DEDQR,DP,OMF,7.5
INF247L01635,DEGDG,GR,OMF,7.5
INF247L01585,DEGPGG,GR,OMF,7.5
INF247L01593,DEQDD,DP,OMF,7.5
INF247L01619,DEQDR,DR,OMF,7.5
INF740K01K99,DPDYADMDP,DP,OMF,7.5
INF740K01L07,DPDYADMDR,DR,OMF,7.5
INF740KA1DO2,DSPAFDDP,DP,OMF,7.5
INF740KA1DP9,DSPAFDDR,DR,OMF,7.5
INF740KA1DN4,DSPAFDGR,GR,OMF,7.5
INF740KA1DQ7,DSPAFDMP,DP,OMF,7.5
INF740KA1DR5,DSPAFDMR,DR,OMF,7.5
INF740KA1DJ2,DSPAFRDP,DP,OMF,7.5
INF740KA1DK0,DSPAFRDR,DR,OMF,7.5
INF740KA1DI4,DSPAFRGR,GR,OMF,7.5
INF740KA1DL8,DSPAFRMP,DP,OMF,7.5
INF740KA1DM6,DSPAFRMR,DR,OMF,7.5
INF740K01NZ1,DSPBLDDP,DP,OMF,7.5
INF740K01OA2,DSPBLDDR,DR,OMF,7.5
INF740K01NY4,DSPBLDGR,GR,OMF,7.5
INF740K01ZW2,DSPBPDDGR,GR,OMF,7.5
INF740K01ZU6,DSPBPDRDP,DP,OMF,7.5
INF740K01ZV4,DSPBPDRDR,DR,OMF,7.5
INF740K01ZP6,DSPBPDRG,GR,OMF,7.5
INF740K01318,DSPBRBALF,GR,OMF,7.5
INF740K01326,DSPBRBALF,DP,OMF,7.5
